Timestamp,How much is your CGPA,How much do you use the college computer center (CC) for studying?,How much do you use the college library for studying?,Which of the following resources provided by the college do you find most beneficial for academic success? (Select all that apply),"On a scale of 1 to 5, how would you rate the effectiveness of the college's academic advising services?","How many hours per week, on average, do you spend on activities directly related to your studies (e.g., homework, self-study)?",How much attendance do you manage in a semester?,Did you have any previous backlogs?
3/7/2026 0:17:58,Less than 6.5,When internet is not available at hostels,Never,"Tutoring/Academic support services, Seniors",3,6,75-90%,Yes
3/7/2026 0:20:48,More than 8.5,Only during exams,Never,"Library resources (books, journals)",1,10,I never miss classes unless there is an emergency,No
3/7/2026 0:25:30,More than 8.5,Monthly,Every week,"Library resources (books, journals), Seniors",3,6,75-90%,No
3/7/2026 3:51:40,More than 8.5,Every week,Every week,"Library resources (books, journals), Faculty office hours/support",5,9,75-90%,No
3/7/2026 8:11:04,More than 8.5,Only during exams,Only during exams,"Library resources (books, journals), Seniors",4,8,90-99%,No
3/7/2026 14:12:22,6.5 to 8.5,Every week,Only during exams,"Faculty office hours/support, Tutoring/Academic support services",4,5,90-99%,No
3/7/2026 17:42:09,6.5 to 8.5,Never,Never,Seniors,2,4,75-90%,No
3/7/2026 17:42:53,Less than 6.5,When internet is not available at hostels,Never,Seniors,2,5,75-90%,No
3/7/2026 17:43:22,More than 8.5,Never,Never,Seniors,1,10,I never miss classes unless there is an emergency,No
3/7/2026 17:44:28,6.5 to 8.5,Only during exams,Never,"Library resources (books, journals), Seniors",4,7,75-90%,No
3/7/2026 17:45:58,6.5 to 8.5,Never,Never,"Library resources (books, journals), Seniors",1,6,75-90%,No
3/7/2026 17:47:01,6.5 to 8.5,When internet is not available at hostels,Never,"Tutoring/Academic support services, Seniors",2,5,75-90%,No
3/7/2026 17:51:36,6.5 to 8.5,Never,Never,Faculty office hours/support,1,10,75-90%,No
3/7/2026 17:53:07,Less than 6.5,Only during exams,Never,Seniors,1,5,75-90%,Yes
3/7/2026 17:54:04,6.5 to 8.5,Never,Never,"Faculty office hours/support, Seniors",2,3,I never miss classes unless there is an emergency,No
3/7/2026 17:55:12,6.5 to 8.5,Monthly,Never,"Library resources (books, journals), Seniors",1,7,90-99%,No
3/7/2026 18:11:30,6.5 to 8.5,Only during exams,Never,"Faculty office hours/support, Tutoring/Academic support services, Seniors",3,7,90-99%,Yes
3/7/2026 18:20:44,6.5 to 8.5,When internet is not available at hostels,Never,"Faculty office hours/support, Seniors",3,7,75-90%,No
3/7/2026 18:31:05,Less than 6.5,When internet is not available at hostels,Never,"Tutoring/Academic support services, Seniors",3,8,75-90%,Yes
3/7/2026 18:56:15,Less than 6.5,Never,Never,Seniors,1,1,75-90%,No
3/7/2026 18:57:05,Less than 6.5,Never,Never,Seniors,2,1,75-90%,No
3/7/2026 18:57:29,6.5 to 8.5,Never,Never,"Tutoring/Academic support services, Seniors",1,3,75-90%,No
3/7/2026 18:58:23,6.5 to 8.5,Never,Never,Seniors,1,1,50-75%,No
3/7/2026 19:25:43,6.5 to 8.5,Never,Only during exams,"Library resources (books, journals), Tutoring/Academic support services",2,7,75-90%,No
3/7/2026 21:08:50,6.5 to 8.5,When internet is not available at hostels,Never,Seniors,1,4,75-90%,No
3/7/2026 21:12:32,Less than 6.5,Only during exams,Only during exams,"Library resources (books, journals)",3,7,90-99%,No
3/7/2026 22:27:47,6.5 to 8.5,Never,Never,Seniors,2,2,75-90%,No
3/8/2026 0:38:06,6.5 to 8.5,Only during exams,Monthly,Seniors,3,8,75-90%,No
3/9/2026 9:28:44,6.5 to 8.5,Never,Never,"Tutoring/Academic support services, Seniors",2,6,90-99%,No
3/9/2026 9:29:15,6.5 to 8.5,Only during exams,Only during exams,"Library resources (books, journals), Seniors",3,7,90-99%,No
3/9/2026 9:30:36,6.5 to 8.5,Never,Never,Tutoring/Academic support services,3,9,75-90%,No
3/9/2026 9:30:40,6.5 to 8.5,Monthly,Monthly,"Library resources (books, journals), Faculty office hours/support, Tutoring/Academic support services",4,8,75-90%,No
3/9/2026 9:30:51,6.5 to 8.5,Never,Monthly,"Library resources (books, journals)",3,8,I never miss classes unless there is an emergency,No
